n;Grade School;Divide and Conquer;Karatsuba
485;13.576;555.043;413.751
486;13.583;542.7;417.039
487;13.621;540.446;414.512
488;15.412;558.954;422.728
489;13.542;542.744;415.677
490;13.787;538.924;417.411
491;13.843;560.74;416.937
492;14.121;540.83;418.361
493;13.816;539.837;417.292
494;14.11;541.473;440.526
495;14.22;541.734;418.423
496;14.062;547.82;415.994
497;14.134;540.3;416.309
498;14.289;541.999;415.56
499;14.745;539.106;427.216
500;14.357;543.284;411.57
501;14.362;555.092;415.34
502;14.379;539.416;411.1
503;14.798;543.701;414.246
504;14.398;544.606;413.46
505;14.725;542.935;416.405
506;14.743;545.833;410.969
507;14.984;544.027;417.64
508;14.69;548.518;409.422
509;15.16;542.655;410.867
510;14.92;549.259;420.067
511;15.356;553.344;410.415
512;14.952;550.533;408.892
513;15.473;2168.49;1669.49
514;15.102;2174.4;1641.24
515;15.041;2191;1638.63
516;15.433;2188.69;1639.1
517;15.422;2164.48;1636.93
518;16.69;2200.2;1629.76
519;15.429;2190.63;1631.39
520;15.436;2174.51;1647.89
521;15.744;2201.02;1638.71
522;17.535;2177.06;1670.03
523;15.781;2199.01;1650.07
524;15.754;2191.07;1636.71
525;15.782;2185.93;1644.38
526;15.759;2177.6;1631.69
527;15.944;2242.55;1651.49
528;16.433;2271.22;1643.85
529;16.017;2173.55;1651.39
530;16.94;2172.69;1671.41
531;16.617;2167.28;1661.17
532;16.16;2179.03;1633.75
533;16.436;2231.5;1647.49
534;17.041;2178.54;1631.02
535;16.232;2173.34;1630.76
536;16.596;2167.01;1649.47
537;17.375;2180.46;1637.85
538;16.595;2243.26;1641.87
539;16.799;2190.81;1645.72
540;16.635;2177.6;1638
541;18.941;2178.99;1634.93
542;16.757;2170.03;1646.19
543;16.767;2198.89;1660.52
544;16.94;2168.8;1636.52
545;16.874;2179.12;1648.36
546;17.689;2180.09;1633.46
547;18.166;2195.89;1629.19
548;17.382;2170.71;1640.63
549;17.216;2180.15;1640.29
550;17.497;2176.13;1639.95
551;17.571;2178.8;1637.92
552;17.423;2192.38;1637.35
553;20.407;2170.41;1627.61
554;18.551;2251.46;1626.96
555;17.756;2186.51;1640.27
556;18.205;2165.55;1639.36
557;17.632;2169.28;1632.56
558;17.879;2187.86;1636.5
559;18.328;2168.89;1655.58
560;18.456;2170.04;1630.98
561;18.071;2199.34;1641.24
562;18.028;2181.87;1665.39
563;18.047;2164.84;1630.8
564;18.655;2173.32;1639.95
565;18.161;2278.29;1635.27
566;18.249;2176.66;1634.8
567;19.295;2169.31;1634.95
568;18.297;2182.42;1630.48
569;18.455;2170.2;1641.28
570;18.721;2229.91;1706.89
571;20.163;2195.19;1645.54
572;18.693;2184.16;1662.69
573;18.953;2181.83;1693.31
574;19.377;2171.74;1631.74
575;19.404;2205.13;1628.98
576;18.842;2219.65;1650.99
577;19.047;2201.73;1646.44
578;19.005;2179.3;1644.16
579;19.969;2178.06;1670.31
580;19.451;2166.51;1651.91
581;19.241;2173.97;1713.9
582;19.332;2188.46;1641.45
583;20.291;2168.08;1627.51
584;19.513;2190.58;1636.66
585;19.539;2169.14;1721.42
586;19.844;2179.05;1645.52
